name,O,M,R,W,ECON
Jasprit Bumrah,10,1,44,1,4.40
Yuzvendra Chahal,10,0,88,0,8.80
Hardik Pandya,10,0,60,0,6.00
Kuldeep Yadav,10,0,72,1,7.20
Chris Woakes,10,3,58,2,5.80
Jofra Archer,10,0,45,0,4.50
Liam Plunkett,10,0,55,3,5.50
Mark Wood,10,0,73,0,7.30
Adil Rashid,6,0,40,0,6.66
Ben Stokes,4,0,34,0,8.50
Sheldon Cottrell,10,0,69,1,6.90
Oshane Thomas,10,1,58,1,5.80
Shannon Gabriel,5,0,46,0,9.20
Jason Holder,10,0,59,2,5.90
Carlos Brathwaite,7,0,53,0,7.57
Fabian Allen,8,0,44,1,5.50
Lasith Malinga,10,0,55,3,5.50
Dhananjaya de Silva,10,0,49,0,4.90
Isuru Udana,10,0,67,0,6.70
Kasun Rajitha,10,0,76,1,7.60
Jeffrey Vandersay,7,0,50,1,7.14
Dimuth Karunaratne,1,0,7,0,7.00
Angelo Mathews,2,0,6,1,3.00
Mashrafe Mortaza,5,0,36,0,7.20
Mohammad Saifuddin,7,0,59,0,8.42
Mustafizur Rahman,10,1,59,5,5.90
Shakib Al Hasan,10,0,41,1,4.10
Mosaddek Hossain,4,0,32,0,8.00
Rubel Hossain,8,0,48,1,6.00
Soumya Sarkar,6,0,33,1,5.50
Bhuvneshwar Kumar,9,0,51,1,5.66
Jasprit Bumrah,10,1,55,4,5.50
Mohammed Shami,9,0,68,1,7.55
Yuzvendra Chahal,10,0,50,1,5.00
Hardik Pandya,10,0,60,3,6.00
Mitchell Santner,10,0,65,1,6.50
Trent Boult,10,0,56,2,5.60
Tim Southee,9,0,70,1,7.77
Matt Henry,10,0,54,2,5.40
Colin de Grandhomme,1,0,11,0,11.00
James Neesham,10,1,41,2,4.10
Chris Woakes,8,0,44,1,5.50
Jofra Archer,7,1,17,1,2.42
Liam Plunkett,8,0,28,1,3.50
Mark Wood,9,0,34,3,3.77
Joe Root,3,0,15,0,5.00
Adil Rashid,5,0,30,1,6.00
Ben Stokes,5,0,10,1,2.00
Mujeeb Ur Rahman,10,0,52,0,5.20
Dawlat Zadran,9,1,73,2,8.11
Sayed Shirzad,8,0,56,1,7.00
Gulbadin Naib,3,0,18,0,6.00
Mohammad Nabi,10,0,56,1,5.60
Rashid Khan,10,0,52,1,5.20
Sheldon Cottrell,7,0,43,0,6.14
Kemar Roach,10,2,37,3,3.70
Oshane Thomas,7,0,43,1,6.14
Jason Holder,8,0,46,0,5.75
Fabian Allen,3,0,26,0,8.66
Carlos Brathwaite,9,0,63,4,7.00
Chris Gayle,6,0,28,1,4.66
Mehidy Hasan Miraz,10,0,30,1,3.00
Mohammad Saifuddin,9,0,77,3,8.55
Mustafizur Rahman,10,0,75,5,7.50
Mashrafe Mortaza,7,0,46,0,6.57
Shakib Al Hasan,10,0,57,0,5.70
Mosaddek Hossain,4,0,27,0,6.75
Mohammad Hafeez,6,1,32,0,5.33
Mohammad Amir,7,0,31,1,4.42
Shaheen Shah Afridi,9.1,0,35,6,3.81
Wahab Riaz,7,0,33,1,4.71
Imad Wasim,6,0,26,0,4.33
Shadab Khan,9,0,59,2,6.55
Bhuvneshwar Kumar,10,0,73,1,7.30
Jasprit Bumrah,10,2,37,3,3.70
Hardik Pandya,10,0,50,1,5.00
Ravindra Jadeja,10,0,40,1,4.00
Kuldeep Yadav,10,0,58,1,5.80
Lasith Malinga,10,1,82,1,8.20
Kasun Rajitha,8,0,47,1,5.87
Isuru Udana,9.3,0,50,1,5.26
Thisara Perera,10,0,34,0,3.40
Dhananjaya de Silva,6,0,51,0,8.50
Mitchell Starc,9,0,59,2,6.55
Jason Behrendorff,8,0,55,1,6.87
Nathan Lyon,10,0,53,2,5.30
Pat Cummins,9,0,66,1,7.33
Steven Smith,1,0,5,0,5.00
Marcus Stoinis,3,0,19,0,6.33
Glenn Maxwell,10,0,57,0,5.70
Imran Tahir,9,0,59,1,6.55
Kagiso Rabada,10,0,56,3,5.60
Dwaine Pretorius,6,2,27,2,4.50
Chris Morris,9,0,63,1,7.00
Tabraiz Shamsi,9,0,62,0,6.88
Andile Phehlukwayo,2.5,0,22,2,7.76
Jean-Paul Duminy,4,0,22,0,5.50
Bhuvneshwar Kumar,10,1,43,3,4.30
Jasprit Bumrah,10,1,39,1,3.90
Hardik Pandya,10,0,55,1,5.50
Ravindra Jadeja,10,0,34,1,3.40
Yuzvendra Chahal,10,0,63,1,6.30
Trent Boult,10,2,42,2,4.20
Matt Henry,10,1,37,3,3.70
Lockie Ferguson,10,0,43,1,4.30
Colin de Grandhomme,2,0,13,0,6.50
James Neesham,7.3,0,49,1,6.53
Mitchell Santner,10,2,34,2,3.40
Chris Woakes,8,0,20,3,2.50
Jofra Archer,10,0,32,2,3.20
Ben Stokes,4,0,22,0,5.50
Mark Wood,9,0,45,1,5.00
Liam Plunkett,8,0,44,0,5.50
Adil Rashid,10,0,54,3,5.40
Jason Behrendorff,8.1,2,38,0,4.65
Mitchell Starc,9,0,70,1,7.77
Pat Cummins,7,0,34,1,4.85
Nathan Lyon,5,0,49,0,9.80
Steven Smith,1,0,21,0,21.00
Marcus Stoinis,2,0,13,0,6.50
Chris Woakes,9,0,37,3,4.11
Jofra Archer,10,0,42,1,4.20
Liam Plunkett,10,0,42,3,4.20
Mark Wood,10,1,49,1,4.90
Adil Rashid,8,0,39,0,4.87
Ben Stokes,3,0,20,0,6.66
Trent Boult,10,0,67,0,6.70
Matt Henry,10,2,40,1,4.00
Colin de Grandhomme,10,2,25,1,2.50
Lockie Ferguson,10,0,50,3,5.00
James Neesham,7,0,43,3,6.14
Mitchell Santner,3,0,11,0,3.66
